last_review,number_of_reviews,room_type,host_host_id,bed_type,price,host_host_id.1,property_type,address_country,host_host_is_superhost,host_host_total_listings_count,address_market,availability_availability_30,availability_availability_60,availability_availability_90,availability_availability_365,review_year,review_month,review_day
2018-08-12,70,Private room,454250,Real Bed,135,454250,Apartment,United States,True,3,New York,0,0,0,93,2018,08,12
2018-05-07,29,Private room,52004703,Real Bed,121,52004703,Bed and breakfast,Turkey,False,2,Istanbul,30,60,90,365,2018,05,07
2018-03-27,3,Entire home/apt,51624384,Real Bed,699,51624384,Apartment,Hong Kong,False,1,Hong Kong,0,0,0,0,2018,03,27
2019-03-01,81,Private room,51744313,Futon,181,51744313,Guesthouse,Hong Kong,False,2,Hong Kong,14,24,40,220,2019,03,01
2018-03-18,64,Entire home/apt,13764143,Real Bed,181,13764143,Apartment,Australia,False,1,Sydney,0,0,0,0,2018,03,18
2016-01-03,1,Entire home/apt,34607505,Real Bed,145,34607505,Apartment,United States,False,1,New York,0,0,0,0,2016,01,03
2019-03-03,239,Private room,1017772,Real Bed,45,1017772,Apartment,United States,True,1,New York,20,29,29,34,2019,03,03
2016-01-31,1,Private room,11275734,Real Bed,40,11275734,Apartment,United States,False,1,New York,0,0,0,0,2016,01,31
2019-01-28,70,Entire home/apt,51530266,Real Bed,119,51530266,Apartment,Brazil,True,2,Rio De Janeiro,7,19,33,118,2019,01,28
2017-08-07,3,Entire home/apt,51471538,Real Bed,838,51471538,Serviced apartment,Turkey,False,16,Istanbul,30,60,90,365,2017,08,07
2019-02-09,178,Entire home/apt,27518920,Real Bed,30,27518920,Loft,Portugal,True,3,Porto,16,40,67,335,2019,02,09
2017-08-27,12,Entire home/apt,51920973,Real Bed,40,51920973,Apartment,Portugal,False,1,Porto,0,0,0,46,2017,08,27
2017-08-19,9,Entire home/apt,52004369,Real Bed,275,52004369,Apartment,United States,False,2,New York,0,0,0,0,2017,08,19
2016-02-10,1,Private room,51326285,Real Bed,250,51326285,House,Brazil,False,5,Rio De Janeiro,10,10,21,296,2016,02,10
2019-03-06,109,Entire home/apt,16187044,Real Bed,185,16187044,Apartment,Australia,True,1,Sydney,5,16,35,265,2019,03,06
2018-11-28,123,Private room,52031360,Real Bed,46,52031360,Apartment,United States,True,1,New York,30,60,90,365,2018,11,28
2019-01-20,51,Entire home/apt,51399391,Real Bed,80,51399391,House,Portugal,False,3,Porto,28,47,74,239,2019,01,20
2016-04-02,1,Entire home/apt,1241644,Real Bed,527,1241644,House,Turkey,False,2,Istanbul,27,57,87,362,2016,04,02
2019-02-07,96,Entire home/apt,5448114,Real Bed,115,5448114,Condominium,United States,False,18,New York,16,46,76,343,2019,02,07
2018-02-18,5,Entire home/apt,47554473,Real Bed,205,47554473,Apartment,United States,False,13,New York,30,31,31,243,2018,02,18
2018-12-21,27,Private room,21331922,Pull-out Sofa,58,21331922,Apartment,Turkey,True,8,Istanbul,3,19,37,37,2018,12,21
